"ROWNUM","Name","StationCapacity","BikeParkingSlotsAmount","Longitude_WGS84","Latitude_WGS84","AdmArea","District","Location","ClarificationOfLocation","DepartamentalAffiliation","OperOrgName","OperOrgWebsite","GLOBALID"
"11","Пункт проката велосипедов № 14","8","8","37.6131","55.7681","Центральный административный округ","Тверской район","Страстной бульвар, дом 1Б",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772025"
"12","Пункт проката велосипедов № 15","16","16","37.617","55.7679","Центральный административный округ","Тверской район","Петровский бульвар, дом 17",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772026"
"13","Пункт проката велосипедов № 16","16","16","37.6213","55.7732","Центральный административный округ","Мещанский район","Цветной бульвар, дом 34А, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772027"
"14","Пункт проката велосипедов № 17","16","16","37.6216","55.7702","Центральный административный округ","Мещанский район","Цветной бульвар, дом 20/1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772028"
"15","Пункт проката велосипедов № 18","16","16","37.6222","55.768","Центральный административный округ","Мещанский район","Трубная площадь, дом 2","Выход станции метро «Трубная»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772029"
"16","Пункт проката велосипедов № 19","8","8","37.6269","55.7665","Центральный административный округ","Мещанский район","Рождественский бульвар, дом 12/8, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772030"
"17","Пункт проката велосипедов № 20","8","8","37.6391","55.7647","Центральный административный округ","Басманный район","Чистопрудный бульвар, дом 1А","Выход станции метро «Чистые Пруды»","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772031"
"18","Пункт проката велосипедов № 21","8","8","37.6417","55.7631","Центральный административный округ","Басманный район","Чистопрудный бульвар, дом 8, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772032"
"19","Пункт проката велосипедов № 22","8","8","37.6455","55.7603","Центральный административный округ","Басманный район","Чистопрудный бульвар, дом 12, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772033"
"20","Пункт проката велосипедов № 23","8","8","37.6473","55.7573","Центральный административный округ","Басманный район","Покровский бульвар, дом 8, строение 1А",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772034"
"21","Пункт проката велосипедов № 24","8","8","37.6484","55.7554","Центральный административный округ","Басманный район","Покровский бульвар, дом 12, строение 1",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772035"
"22","Пункт проката велосипедов № 25","8","8","37.6474","55.7533","Центральный административный округ","Басманный район","Покровский бульвар, дом 18/15","На пересечении с Подколокольным переулком","Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772036"
"23","Пункт проката велосипедов № 26","16","16","37.6096","55.7621","Центральный административный округ","Тверской район","Тверская улица, дом 8",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772037"
"24","Пункт проката велосипедов № 27","8","8","37.613","55.7625","Центральный административный округ","Тверской район","улица Большая Дмитровка, дом 15",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772038"
"25","Пункт проката велосипедов № 28","8","8","37.6172","55.7634","Центральный административный округ","Тверской район","улица Петровка, дом 11",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772039"
"26","Пункт проката велосипедов № 29","8","8","37.612","55.7594","Центральный административный округ","Тверской район","Камергерский переулок, дом 9",,"Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы","ЗАО «СитиБайк»","velobike.msk.ru","87772040"
